ddate,adult_carp_number
1993-01-01,524292.4114
1993-02-01,36330.1158
1993-03-01,107608.007
1993-04-01,124215.9646
1993-05-01,269.5072
1993-06-01,253.1216
1993-07-01,2486.7092
1993-08-01,271138.8864
1993-09-01,10738.2324
1993-10-01,12119.664
1993-11-01,10090.6792
1993-12-01,9740.2388
1994-01-01,336311.0972
1994-02-01,275297.7262
1994-03-01,277179.21
1994-04-01,237096.385
1994-05-01,465.968
1994-06-01,454.7064
1994-07-01,459.5
1994-08-01,961.1542
1994-09-01,157724.0708
1994-10-01,235898.8546
1994-11-01,219432.3394
1994-12-01,3878.1292
1995-01-01,145421.4158
1995-02-01,183569.907
1995-03-01,176114.7538
1995-04-01,1343.4224
1995-05-01,2486.7092
1995-06-01,2329.5732
1995-07-01,2329.5732
1995-08-01,2329.5732
1995-09-01,253155.051
1995-10-01,185012.5156
1995-11-01,3149.5952
1995-12-01,300411.5412
1996-01-01,178931.6566
1996-02-01,169519.822
1996-03-01,153410.1162
1996-04-01,124943.5284
1996-05-01,455.72
1996-06-01,439.3344
1996-07-01,2486.7092
1996-08-01,3293.808
1996-09-01,233223.7976
1996-10-01,39422.8438
1996-11-01,170371.701
1996-12-01,158778.1334
1997-01-01,2786.3936
1997-02-01,557.344
1997-03-01,545.9716
1997-04-01,451.128
1997-05-01,439.3344
1997-06-01,471.092
1997-07-01,1701.228
1997-08-01,465.968
1997-09-01,2387.4044
1997-10-01,2354.9492
1997-11-01,2786.3936
1997-12-01,557.344
1998-01-01,2483.727
1998-02-01,3637.0414
1998-03-01,1105.134
1998-04-01,1003.568
1998-05-01,429.7584
1998-06-01,2486.7092
1998-07-01,3293.808
1998-08-01,15877.6464
1998-09-01,114376.3384
1998-10-01,170014.7516
1998-11-01,5788.3048
1998-12-01,4452.1418
1999-01-01,3294.8562
1999-02-01,23510.4324
1999-03-01,3969.3812
1999-04-01,237508.5966
1999-05-01,2329.5732
1999-06-01,2329.5732
1999-07-01,2329.5732
1999-08-01,4390.5824
1999-09-01,157486.09
1999-10-01,177816.408
1999-11-01,3810.409
1999-12-01,299072.6766
2000-01-01,157633.7188
2000-02-01,167475.415
2000-03-01,4554.9836
2000-04-01,259304.4018
2000-05-01,137868.4988
2000-06-01,2795.8676
2000-07-01,2329.5732
2000-08-01,223210.8554
2000-09-01,156573.0776
2000-10-01,141658.564
2000-11-01,131869.2932
2000-12-01,157935.8174
2001-01-01,6302.7674
2001-02-01,128216.4148
2001-03-01,112558.285
2001-04-01,3931.5096
2001-05-01,2353.7608
2001-06-01,2329.5732
2001-07-01,2404.6548
2001-08-01,134290.854
2001-09-01,86888.6024
2001-10-01,77078.4322
2001-11-01,77684.9732
2001-12-01,3941.685
2002-01-01,2414.9432
2002-02-01,4966.482
2002-03-01,4526.3874
2002-04-01,4477.4896
2002-05-01,2172.3772
2002-06-01,2148.5252
2002-07-01,2148.5252
2002-08-01,2004.216
2002-09-01,3171.1812
2002-10-01,1361.5484
2002-11-01,1432.3142
2002-12-01,1386.382
2003-01-01,1057.5946
2003-02-01,71912.504
2003-03-01,35087.497
2003-04-01,3172.5672
2003-05-01,452.1684
2003-06-01,2278.3332
2003-07-01,2148.5252
2003-08-01,56498.5238
2003-09-01,17307.5512
2003-10-01,12662.7308
2003-11-01,4186.3542
2003-12-01,3657.9666
2004-01-01,3541.367
2004-02-01,3384.0444
2004-03-01,3677.615
2004-04-01,977.672
2004-05-01,734.7524
2004-06-01,2196.2988
2004-07-01,2148.5252
2004-08-01,3311.7212
2004-09-01,3234.3884
2004-10-01,3798.3426
2004-11-01,3678.1688
2004-12-01,4142.6482
2005-01-01,3871.2292
2005-02-01,3318.6686
2005-03-01,3405.0814
2005-04-01,1226.4502
2005-05-01,548.102
2005-06-01,2387.4044
2005-07-01,2408.352
2005-08-01,58490.127
2005-09-01,29310.1104
2005-10-01,31890.0578
2005-11-01,28182.834
2005-12-01,17429.9974
2006-01-01,3700.3526
2006-02-01,4377.1478
2006-03-01,3860.4246
2006-04-01,1515.2324
2006-05-01,575.7464
2006-06-01,459.5
2006-07-01,2387.4044
2006-08-01,4310.7006
2006-09-01,3603.0912
2006-10-01,1432.2372
2006-11-01,1141.9754
2006-12-01,1036.6126
2007-01-01,3248.4172
2007-02-01,3076.7972
2007-03-01,3061.5492
2007-04-01,3080.6092
2007-05-01,2148.5252
2007-06-01,2148.5252
2007-07-01,2148.5252
2007-08-01,4028.807
2007-09-01,885.9724
2007-10-01,1023.8584
2007-11-01,3148.2454
2007-12-01,4038.0726
2008-01-01,4107.5196
2008-02-01,4681.005
2008-03-01,4190.4236
2008-04-01,3318.5072
2008-05-01,429.7584
2008-06-01,2278.3332
2008-07-01,2148.5252
2008-08-01,3699.9944
2008-09-01,3342.876
2008-10-01,3836.6168
2008-11-01,3833.9656
2008-12-01,4300.394
2009-01-01,3358.3584
2009-02-01,3118.1574
2009-03-01,3110.5334
2009-04-01,3474.756
2009-05-01,2148.5252
2009-06-01,2329.5732
2009-07-01,2329.5732
2009-08-01,3329.1516
2009-09-01,2910.7212
2009-10-01,2899.9272
2009-11-01,3326.102
2009-12-01,3475.222
2010-01-01,4857.0872
2010-02-01,28210.9996
2010-03-01,46412.7646
2010-04-01,17407.5898
2010-05-01,10181.1252
2010-06-01,2329.5732
2010-07-01,2795.8676
2010-08-01,130023.7094
2010-09-01,129769.5692
2010-10-01,114708.9606
2010-11-01,161271.555
2010-12-01,186154.8504
2011-01-01,186028.9318
2011-02-01,22464.4548
2011-03-01,219520.916
2011-04-01,219561.5796
2011-05-01,20758.6536
2011-06-01,2329.5732
2011-07-01,2329.5732
2011-08-01,168160.6866
2011-09-01,223727.5244
2011-10-01,228877.8634
2011-11-01,151507.3012
2011-12-01,164306.751
2012-01-01,160176.8388
2012-02-01,161101.0994
2012-03-01,263327.1954
2012-04-01,237052.9116
2012-05-01,178500.1432
2012-06-01,2148.5252
2012-07-01,2148.5252
2012-08-01,346563.1054
2012-09-01,21085.4556
2012-10-01,314038.6684
2012-11-01,45574.4652
2012-12-01,288525.573
2013-01-01,214079.987
2013-02-01,239415.5898
2013-03-01,228576.4304
2013-04-01,207043.7084
2013-05-01,123211.6152
2013-06-01,2148.5252
2013-07-01,2857.491
2013-08-01,179552.7756
2013-09-01,11458.5448
2013-10-01,201440.3338
2013-11-01,152920.9634
2013-12-01,131342.9496
