ddate,adult_carp_number
1993-01-01,257525.2254
1993-02-01,83424.3002
1993-03-01,52580.6832
1993-04-01,70704.4946
1993-05-01,1236.28
1993-06-01,1029.967
1993-07-01,6689.0416
1993-08-01,66417.077
1993-09-01,82839.0804
1993-10-01,94288.8404
1993-11-01,88242.416
1993-12-01,86352.2018
1994-01-01,72070.3448
1994-02-01,54269.7012
1994-03-01,81294.227
1994-04-01,65861.072
1994-05-01,1122.5066
1994-06-01,1182.5146
1994-07-01,1001.107
1994-08-01,59965.1174
1994-09-01,69469.3374
1994-10-01,66572.3546
1994-11-01,11664.863
1994-12-01,65821.751
1995-01-01,16265.1142
1995-02-01,59132.1992
1995-03-01,54981.945
1995-04-01,3125.8568
1995-05-01,6251.7678
1995-06-01,5804.3808
1995-07-01,7133.04
1995-08-01,6397.9424
1995-09-01,8888.19
1995-10-01,39498.482
1995-11-01,6537.597
1995-12-01,52831.8132
1996-01-01,79573.3704
1996-02-01,5690.7594
1996-03-01,113718.79
1996-04-01,64571.5492
1996-05-01,1198.2298
1996-06-01,1147.7476
1996-07-01,6892.816
1996-08-01,7138.972
1996-09-01,38843.746
1996-10-01,88181.388
1996-11-01,93208.4584
1996-12-01,5694.8704
1997-01-01,5704.5054
1997-02-01,1109.0456
1997-03-01,1177.4536
1997-04-01,1172.2452
1997-05-01,1200.8884
1997-06-01,1102.3522
1997-07-01,5245.6678
1997-08-01,1105.084
1997-09-01,7108.9056
1997-10-01,5685.7824
1997-11-01,5713.5934
1997-12-01,960.2854
1998-01-01,90349.2372
1998-02-01,60386.295
1998-03-01,1006.4896
1998-04-01,27955.6934
1998-05-01,1154.2572
1998-06-01,7108.9056
1998-07-01,7134.288
1998-08-01,130930.848
1998-09-01,86071.0948
1998-10-01,16579.5012
1998-11-01,64249.942
1998-12-01,83265.0552
1999-01-01,60120.7952
1999-02-01,21658.4836
1999-03-01,5920.637
1999-04-01,119863.9118
1999-05-01,5677.0802
1999-06-01,5561.819
1999-07-01,5367.3918
1999-08-01,120936.3544
1999-09-01,83645.1288
1999-10-01,8740.92
1999-11-01,134795.5764
1999-12-01,6957.8432
2000-01-01,134521.886
2000-02-01,86566.404
2000-03-01,61553.9158
2000-04-01,82237.5512
2000-05-01,7301.055
2000-06-01,6550.6168
2000-07-01,6233.824
2000-08-01,8495.3466
2000-09-01,90701.7118
2000-10-01,88033.8056
2000-11-01,88959.9336
2000-12-01,88189.2136
2001-01-01,84563.9052
2001-02-01,80729.3712
2001-03-01,79849.9592
2001-04-01,79202.1718
2001-05-01,5813.063
2001-06-01,5593.58
2001-07-01,5545.158
2001-08-01,55171.7538
2001-09-01,74508.6614
2001-10-01,41292.5734
2001-11-01,76790.8112
2001-12-01,68342.2658
2002-01-01,60921.178
2002-02-01,62918.1626
2002-03-01,64249.8248
2002-04-01,60133.2378
2002-05-01,54727.768
2002-06-01,5363.5208
2002-07-01,4817.432
2002-08-01,78006.293
2002-09-01,31855.048
2002-10-01,45795.6978
2002-11-01,40593.0138
2002-12-01,32395.0946
2003-01-01,31382.966
2003-02-01,30163.5838
2003-03-01,27482.0458
2003-04-01,26661.1832
2003-05-01,19919.9828
2003-06-01,5991.3946
2003-07-01,5506.224
2003-08-01,44881.09
2003-09-01,29940.3764
2003-10-01,34119.088
2003-11-01,35189.6188
2003-12-01,32531.7424
2004-01-01,32424.5624
2004-02-01,30780.8264
2004-03-01,27085.6238
2004-04-01,22729.6406
2004-05-01,5713.4514
2004-06-01,5080.7774
2004-07-01,4977.151
2004-08-01,36672.0436
2004-09-01,27607.7062
2004-10-01,28757.3082
2004-11-01,29231.1224
2004-12-01,32571.969
2005-01-01,29887.3912
2005-02-01,26360.2516
2005-03-01,25547.1344
2005-04-01,19158.4574
2005-05-01,7234.876
2005-06-01,5814.0886
2005-07-01,5506.224
2005-08-01,42028.1244
2005-09-01,35862.3848
2005-10-01,43039.9528
2005-11-01,50844.3414
2005-12-01,49681.5404
2006-01-01,50412.6138
2006-02-01,49368.9444
2006-03-01,45055.7428
2006-04-01,39297.3922
2006-05-01,15365.9234
2006-06-01,938.9886
2006-07-01,5662.0318
2006-08-01,59165.997
2006-09-01,37084.473
2006-10-01,29452.559
2006-11-01,27046.5498
2006-12-01,22810.0558
2007-01-01,24407.9016
2007-02-01,19945.7898
2007-03-01,18158.2688
2007-04-01,15811.538
2007-05-01,14621.8342
2007-06-01,6697.3728
2007-07-01,6211.3152
2007-08-01,52089.5008
2007-09-01,35488.946
2007-10-01,30427.8674
2007-11-01,32328.4024
2007-12-01,35503.225
2008-01-01,34815.7624
2008-02-01,31907.867
2008-03-01,29559.5156
2008-04-01,24673.4914
2008-05-01,12218.4992
2008-06-01,6003.0954
2008-07-01,5202.2976
2008-08-01,35050.6342
2008-09-01,27922.5492
2008-10-01,29170.36
2008-11-01,20317.5744
2008-12-01,30059.0296
2009-01-01,27676.4078
2009-02-01,24230.121
2009-03-01,21322.5392
2009-04-01,21269.7992
2009-05-01,14101.8576
2009-06-01,5612.669
2009-07-01,5516.2952
2009-08-01,19799.286
2009-09-01,19507.7724
2009-10-01,18057.9254
2009-11-01,16873.9398
2009-12-01,15504.7362
2010-01-01,19258.7852
2010-02-01,14358.1528
2010-03-01,23565.1188
2010-04-01,23018.0102
2010-05-01,9195.8478
2010-06-01,5668.0864
2010-07-01,6641.644
2010-08-01,27697.9528
2010-09-01,50745.3164
2010-10-01,55842.928
2010-11-01,58016.3222
2010-12-01,95668.1248
2011-01-01,91522.8092
