ddate,avg_est_watertemp
1993-01-01,25.53
1993-02-01,24.72
1993-03-01,21.22
1993-04-01,19.13
1993-05-01,13.82
1993-06-01,9.76
1993-07-01,10.82
1993-08-01,11.82
1993-09-01,13.76
1993-10-01,15.51
1993-11-01,20.57
1993-12-01,21.73
1994-01-01,24.8
1994-02-01,25.1
1994-03-01,19.68
1994-04-01,17.38
1994-05-01,13.71
1994-06-01,11.71
1994-07-01,9.92
1994-08-01,9.9
1994-09-01,13.08
1994-10-01,17.61
1994-11-01,20.95
1994-12-01,25.69
1995-01-01,24.55
1995-02-01,24.75
1995-03-01,20.62
1995-04-01,14.95
1995-05-01,13.41
1995-06-01,10.41
1995-07-01,8.29
1995-08-01,11.96
1995-09-01,13.49
1995-10-01,17.19
1995-11-01,20.7
1995-12-01,22.05
1996-01-01,24.76
1996-02-01,22.28
1996-03-01,21.65
1996-04-01,15.48
1996-05-01,13.38
1996-06-01,10.85
1996-07-01,9.32
1996-08-01,10.44
1996-09-01,13.4
1996-10-01,17.33
1996-11-01,18.9
1996-12-01,23.01
1997-01-01,25.21
1997-02-01,28.2
1997-03-01,20.54
1997-04-01,16.94
1997-05-01,14.18
1997-06-01,10.08
1997-07-01,8.14
1997-08-01,9.98
1997-09-01,13.28
1997-10-01,17.4
1997-11-01,22.92
1997-12-01,25.05
1998-01-01,25.26
1998-02-01,24.19
1998-03-01,22.9
1998-04-01,16.55
1998-05-01,13.12
1998-06-01,9.88
1998-07-01,8.07
1998-08-01,11.28
1998-09-01,14.23
1998-10-01,15.63
1998-11-01,19.41
1998-12-01,24.36
1999-01-01,27.91
1999-02-01,24.23
1999-03-01,21.68
1999-04-01,15.44
1999-05-01,13.93
1999-06-01,10.27
1999-07-01,10.22
1999-08-01,10.6
1999-09-01,15.24
1999-10-01,17.51
1999-11-01,17.98
1999-12-01,21.41
2000-01-01,22.85
2000-02-01,25.84
2000-03-01,22.7
2000-04-01,18.21
2000-05-01,12.55
2000-06-01,9.49
2000-07-01,9.37
2000-08-01,9.92
2000-09-01,15.02
2000-10-01,17.16
2000-11-01,21.84
2000-12-01,24.78
2001-01-01,27.88
2001-02-01,26.78
2001-03-01,21.55
2001-04-01,17.69
2001-05-01,13.08
2001-06-01,10.71
2001-07-01,9.4
2001-08-01,11.01
2001-09-01,15.25
2001-10-01,16.17
2001-11-01,20.14
2001-12-01,22.5
2002-01-01,24.51
2002-02-01,23.77
2002-03-01,22.39
2002-04-01,19.77
2002-05-01,13.79
2002-06-01,10.82
2002-07-01,10.11
2002-08-01,11.47
2002-09-01,15.28
2002-10-01,18.3
2002-11-01,23.34
2002-12-01,24.76
2003-01-01,26.79
2003-02-01,26.32
2003-03-01,21.29
2003-04-01,18.57
2003-05-01,14.19
2003-06-01,11.31
2003-07-01,10.24
2003-08-01,10.31
2003-09-01,13.49
2003-10-01,15.89
2003-11-01,21.26
2003-12-01,25.44
2004-01-01,25.31
2004-02-01,27.0
2004-03-01,22.02
2004-04-01,18.71
2004-05-01,12.31
2004-06-01,10.55
2004-07-01,9.04
2004-08-01,11.15
2004-09-01,13.95
2004-10-01,18.94
2004-11-01,21.28
2004-12-01,23.87
2005-01-01,26.33
2005-02-01,23.54
2005-03-01,21.72
2005-04-01,20.78
2005-05-01,14.27
2005-06-01,11.78
2005-07-01,10.42
2005-08-01,10.87
2005-09-01,13.79
2005-10-01,17.71
2005-11-01,22.04
2005-12-01,24.39
2006-01-01,28.82
2006-02-01,26.34
2006-03-01,23.51
2006-04-01,15.53
2006-05-01,11.9
2006-06-01,8.85
2006-07-01,9.43
2006-08-01,10.79
2006-09-01,14.87
2006-10-01,18.94
2006-11-01,22.11
2006-12-01,24.12
2007-01-01,26.05
2007-02-01,26.67
2007-03-01,23.63
2007-04-01,18.55
2007-05-01,15.39
2007-06-01,9.2
2007-07-01,8.98
2007-08-01,12.42
2007-09-01,14.63
2007-10-01,18.97
2007-11-01,22.82
2007-12-01,24.46
2008-01-01,26.86
2008-02-01,23.28
2008-03-01,23.08
2008-04-01,16.74
2008-05-01,13.58
2008-06-01,12.04
2008-07-01,9.59
2008-08-01,9.77
2008-09-01,14.95
2008-10-01,19.64
2008-11-01,21.06
2008-12-01,23.14
2009-01-01,27.09
2009-02-01,26.13
2009-03-01,22.4
2009-04-01,18.09
2009-05-01,13.94
2009-06-01,11.29
2009-07-01,10.33
2009-08-01,12.44
2009-09-01,14.99
2009-10-01,17.9
2009-11-01,25.54
2009-12-01,23.28
2010-01-01,21.76
2010-02-01,23.18
2010-03-01,22.1
2010-04-01,18.87
2010-05-01,13.63
2010-06-01,11.21
2010-07-01,9.21
2010-08-01,9.71
2010-09-01,12.79
2010-10-01,17.22
2010-11-01,20.85
2010-12-01,22.87
2011-01-01,26.84
2011-02-01,25.5
2011-03-01,22.23
2011-04-01,16.75
2011-05-01,12.09
2011-06-01,10.21
2011-07-01,9.82
2011-08-01,12.6
2011-09-01,14.98
2011-10-01,18.46
2011-11-01,22.46
2011-12-01,23.3
2012-01-01,25.18
2012-02-01,23.7
2012-03-01,20.51
2012-04-01,17.36
2012-05-01,12.51
2012-06-01,9.97
2012-07-01,9.48
2012-08-01,10.34
2012-09-01,14.04
2012-10-01,17.94
2012-11-01,22.64
2012-12-01,24.55
2013-01-01,27.62
2013-02-01,26.29
2013-03-01,22.71
2013-04-01,18.35
2013-05-01,13.89
2013-06-01,11.16
2013-07-01,10.95
2013-08-01,11.89
2013-09-01,16.55
2013-10-01,18.21
2013-11-01,20.97
2013-12-01,24.77
