ddate,avg_est_watertemp
1993-01-01,25.52
1993-02-01,24.75
1993-03-01,20.62
1993-04-01,18.34
1993-05-01,13.12
1993-06-01,9.21
1993-07-01,10.81
1993-08-01,11.08
1993-09-01,13.08
1993-10-01,15.18
1993-11-01,20.02
1993-12-01,21.82
1994-01-01,24.51
1994-02-01,24.82
1994-03-01,19.22
1994-04-01,16.72
1994-05-01,13.03
1994-06-01,11.05
1994-07-01,8.99
1994-08-01,9.38
1994-09-01,12.63
1994-10-01,17.17
1994-11-01,20.72
1994-12-01,25.53
1995-01-01,23.82
1995-02-01,23.66
1995-03-01,20.32
1995-04-01,14.5
1995-05-01,13.37
1995-06-01,10.15
1995-07-01,8.02
1995-08-01,11.72
1995-09-01,13.14
1995-10-01,17.54
1995-11-01,20.64
1995-12-01,22.04
1996-01-01,24.91
1996-02-01,22.11
1996-03-01,21.3
1996-04-01,15.6
1996-05-01,13.41
1996-06-01,10.67
1996-07-01,9.14
1996-08-01,10.04
1996-09-01,12.52
1996-10-01,17.15
1996-11-01,18.72
1996-12-01,22.79
1997-01-01,24.42
1997-02-01,27.26
1997-03-01,21.0
1997-04-01,16.87
1997-05-01,13.86
1997-06-01,9.32
1997-07-01,7.79
1997-08-01,9.41
1997-09-01,12.68
1997-10-01,16.99
1997-11-01,22.76
1997-12-01,24.83
1998-01-01,25.65
1998-02-01,24.71
1998-03-01,22.96
1998-04-01,16.89
1998-05-01,12.45
1998-06-01,9.31
1998-07-01,8.05
1998-08-01,11.04
1998-09-01,13.69
1998-10-01,15.21
1998-11-01,18.91
1998-12-01,23.8
1999-01-01,27.36
1999-02-01,23.77
1999-03-01,21.17
1999-04-01,15.06
1999-05-01,13.46
1999-06-01,9.9
1999-07-01,9.46
1999-08-01,10.21
1999-09-01,14.81
1999-10-01,17.4
1999-11-01,17.71
1999-12-01,21.48
2000-01-01,22.38
2000-02-01,25.24
2000-03-01,22.5
2000-04-01,17.2
2000-05-01,12.15
2000-06-01,8.87
2000-07-01,8.53
2000-08-01,9.74
2000-09-01,14.28
2000-10-01,16.45
2000-11-01,20.98
2000-12-01,24.14
2001-01-01,27.5
2001-02-01,25.9
2001-03-01,20.87
2001-04-01,17.44
2001-05-01,12.26
2001-06-01,10.07
2001-07-01,9.11
2001-08-01,10.17
2001-09-01,14.38
2001-10-01,15.62
2001-11-01,19.9
2001-12-01,22.11
2002-01-01,24.3
2002-02-01,22.89
2002-03-01,21.6
2002-04-01,19.08
2002-05-01,12.7
2002-06-01,10.07
2002-07-01,9.2
2002-08-01,11.08
2002-09-01,14.7
2002-10-01,17.88
2002-11-01,23.19
2002-12-01,24.34
2003-01-01,26.79
2003-02-01,25.97
2003-03-01,20.73
2003-04-01,17.68
2003-05-01,13.8
2003-06-01,11.09
2003-07-01,9.97
2003-08-01,10.2
2003-09-01,13.22
2003-10-01,15.47
2003-11-01,21.06
2003-12-01,25.1
2004-01-01,25.21
2004-02-01,26.9
2004-03-01,21.85
2004-04-01,18.25
2004-05-01,11.68
2004-06-01,10.22
2004-07-01,8.57
2004-08-01,10.78
2004-09-01,13.15
2004-10-01,17.74
2004-11-01,21.0
2004-12-01,23.29
2005-01-01,25.99
2005-02-01,23.61
2005-03-01,21.46
2005-04-01,20.74
2005-05-01,13.49
2005-06-01,11.34
2005-07-01,10.1
2005-08-01,10.23
2005-09-01,12.95
2005-10-01,17.16
2005-11-01,21.65
2005-12-01,24.18
2006-01-01,28.52
2006-02-01,26.18
2006-03-01,22.79
2006-04-01,15.24
2006-05-01,11.06
2006-06-01,8.28
2006-07-01,9.38
2006-08-01,10.07
2006-09-01,14.4
2006-10-01,18.81
2006-11-01,22.24
2006-12-01,24.22
2007-01-01,25.99
2007-02-01,26.58
2007-03-01,23.25
2007-04-01,18.18
2007-05-01,14.96
2007-06-01,8.69
2007-07-01,8.27
2007-08-01,11.7
2007-09-01,13.63
2007-10-01,18.64
2007-11-01,22.44
2007-12-01,23.56
2008-01-01,26.53
2008-02-01,22.53
2008-03-01,22.35
2008-04-01,16.25
2008-05-01,12.96
2008-06-01,11.61
2008-07-01,9.21
2008-08-01,9.22
2008-09-01,14.48
2008-10-01,19.45
2008-11-01,20.85
2008-12-01,23.07
2009-01-01,27.02
2009-02-01,25.72
2009-03-01,22.12
2009-04-01,17.36
2009-05-01,13.47
2009-06-01,10.94
2009-07-01,9.89
2009-08-01,12.03
2009-09-01,14.61
2009-10-01,17.59
2009-11-01,25.75
2009-12-01,24.4
2010-01-01,26.9
2010-02-01,24.8
2010-03-01,21.78
2010-04-01,18.47
2010-05-01,13.16
2010-06-01,10.39
2010-07-01,8.98
2010-08-01,9.29
2010-09-01,12.45
2010-10-01,16.75
2010-11-01,20.49
2010-12-01,22.13
2011-01-01,26.43
2011-02-01,24.95
2011-03-01,21.13
2011-04-01,16.0
2011-05-01,11.38
2011-06-01,9.71
2011-07-01,9.18
2011-08-01,11.9
2011-09-01,13.92
2011-10-01,17.44
2011-11-01,21.32
2011-12-01,21.53
2012-01-01,24.09
2012-02-01,22.59
2012-03-01,20.04
2012-04-01,16.93
2012-05-01,11.64
2012-06-01,9.84
2012-07-01,9.01
2012-08-01,9.66
2012-09-01,13.04
2012-10-01,17.24
2012-11-01,22.22
2012-12-01,24.2
2013-01-01,27.47
2013-02-01,25.27
2013-03-01,22.13
2013-04-01,17.58
2013-05-01,13.08
2013-06-01,10.7
2013-07-01,10.22
2013-08-01,11.11
2013-09-01,15.1
2013-10-01,17.15
2013-11-01,20.17
2013-12-01,23.97
