ddate,adult_carp_number
1993-01-01,82612.4182
1993-02-01,14982.8816
1993-03-01,23701.487
1993-04-01,14510.1606
1993-05-01,2682.844
1993-06-01,2682.844
1993-07-01,13408.4736
1993-08-01,15665.9052
1993-09-01,13408.4736
1993-10-01,37654.6456
1993-11-01,15155.3492
1993-12-01,20283.9026
1994-01-01,51381.8056
1994-02-01,31908.7086
1994-03-01,14249.7824
1994-04-01,41684.5698
1994-05-01,2680.3968
1994-06-01,2682.844
1994-07-01,2682.844
1994-08-01,2682.844
1994-09-01,15705.52
1994-10-01,11096.2032
1994-11-01,2853.8968
1994-12-01,21692.07
1995-01-01,20279.3132
1995-02-01,22440.5032
1995-03-01,17021.1064
1995-04-01,2682.844
1995-05-01,13408.4736
1995-06-01,13396.1088
1995-07-01,13408.4736
1995-08-01,13396.1088
1995-09-01,21533.4972
1995-10-01,3935.5298
1995-11-01,33735.4758
1995-12-01,15041.7254
1996-01-01,15560.0714
1996-02-01,14538.5414
1996-03-01,14263.376
1996-04-01,2680.3968
1996-05-01,2682.844
1996-06-01,2682.844
1996-07-01,13408.4736
1996-08-01,13484.5572
1996-09-01,13408.4736
1996-10-01,18810.3384
1996-11-01,20344.2054
1996-12-01,20345.9762
1997-01-01,14263.376
1997-02-01,7925.9644
1997-03-01,5278.4218
1997-04-01,4827.5598
1997-05-01,2682.844
1997-06-01,2682.844
1997-07-01,13408.4736
1997-08-01,2680.3968
1997-09-01,26611.7436
1997-10-01,14249.7824
1997-11-01,11547.932
1997-12-01,5687.6206
1998-01-01,23286.5428
1998-02-01,17644.7746
1998-03-01,5166.8058
1998-04-01,3978.6642
1998-05-01,2891.0248
1998-06-01,13408.4736
1998-07-01,13396.1088
1998-08-01,34316.7084
1998-09-01,77060.3936
1998-10-01,63469.0902
1998-11-01,25525.4934
1998-12-01,37636.2332
1999-01-01,24314.668
1999-02-01,2853.8968
1999-03-01,27503.5302
1999-04-01,13396.1088
1999-05-01,13408.4736
1999-06-01,13396.1088
1999-07-01,13408.4736
1999-08-01,34229.9484
