zone,iso_year,month,week_no,est_adult_no,est_juvenile_no,est_wetland_ha,est_river_ha,river_avg_water_temp,river_temp_spawning_state,waterbody_avg_water_temp,waterbody_temp_spawning_state,aggregation_high_no,aggregation_low_no,aggregation_switch
1,2000,2,8,41621.03,515829.47,0,1123.47,22.09,Optimum,22.92,Optimum,0,140,0
1,2000,2,9,38045.45,447816.47,0,1123.47,22.43,Optimum,23.67,Moderate,0,140,0
1,2000,3,10,34195.18,414985.69,0,936.22,20.2,Optimum,21.41,Optimum,0,140,0
1,2000,3,11,29820.84,329885.72,0,936.22,22.23,Optimum,23.1,Moderate,0,140,0
1,2000,3,12,29402.83,337790.54,0,936.22,19.07,Optimum,20.7,Optimum,0,140,0
1,2000,3,13,28302.28,330655.08,0,936.22,18.35,Moderate,19.51,Optimum,0,140,0
1,2000,4,14,35960.71,424898.55,0,1123.47,17.21,Moderate,18.47,Moderate,0,140,0
1,2000,4,15,33469.28,386951.59,0,1123.47,16.88,Moderate,17.84,Moderate,0,140,0
1,2000,4,16,32647.21,324735.55,0,1123.47,14.02,Poor,14.85,Poor,0,140,0
1,2000,4,17,32647.21,324735.55,0,1123.47,13.95,Poor,14.53,Poor,0,140,0
1,2000,5,18,34717.02,363521.96,0,1123.47,15.54,Poor,15.61,Poor,0,140,0
1,2000,5,19,32647.21,324735.55,0,1123.47,12.59,Poor,12.99,Poor,0,140,0
1,2000,5,20,32647.21,324735.55,0,1123.47,10.81,Poor,11.45,Poor,0,140,0
1,2000,5,21,32647.21,324735.55,0,1123.47,10.2,Poor,10.66,Poor,0,140,0
1,2000,5,22,32647.21,324735.55,0,1123.47,8.48,Poor,8.96,Poor,0,140,0
1,2000,6,23,32647.21,324735.55,0,1123.47,8.48,Poor,8.79,Poor,0,140,0
1,2000,6,24,32093.98,319324.31,0,1123.47,8.89,Poor,9.2,Poor,0,140,0
1,2000,6,25,32093.98,319324.31,0,1123.47,9.97,Poor,10.3,Poor,0,140,0
1,2000,6,26,33973.78,351325.57,0,1123.47,9.27,Poor,9.66,Poor,0,140,0
1,2000,7,27,34799.21,372993.77,0,936.22,9.47,Poor,9.81,Poor,0,140,0
1,2000,7,28,32672.08,340532.26,0,936.22,8.41,Poor,8.88,Poor,0,140,0
1,2000,7,29,31093.36,320171.48,0,936.22,8.72,Poor,9.12,Poor,0,140,0
1,2000,7,30,32984.02,348747.4,0,936.22,8.95,Poor,9.26,Poor,0,140,0
1,2000,7,31,34799.21,372993.77,0,936.22,9.77,Poor,10.12,Poor,0,140,0
1,2000,8,32,41516.49,460492.86,0,1123.47,10.45,Poor,10.89,Poor,0,140,0
1,2000,8,33,41888.34,464380.32,0,1123.47,10.46,Poor,10.82,Poor,0,140,0
1,2000,8,34,42300.2,475227.12,0,1123.47,11.2,Poor,11.74,Poor,0,140,0
1,2000,8,35,65549.85,652348.34,661.3,1123.47,11.86,Poor,12.4,Poor,0,140,0
1,2000,9,36,75337.52,998080.7,1193.26,936.22,12.45,Poor,13.15,Poor,0,140,0
1,2000,9,37,76806.35,1046430.91,1247.91,936.22,13.11,Poor,13.77,Poor,0,140,0
1,2000,9,38,76722.25,1030593.5,1258.95,936.22,14.15,Poor,14.96,Poor,0,140,0
1,2000,9,39,65808.15,894391.19,868.48,936.22,15.83,Poor,16.77,Moderate,0,140,0
1,2000,10,40,44480.5,507080.09,68.24,1123.47,14.88,Poor,15.98,Poor,0,140,0
1,2000,10,41,41646.59,469311.3,0,1123.47,15.34,Poor,16.66,Moderate,0,140,0
1,2000,10,42,43361.94,543319.69,0,1123.47,16.14,Moderate,17.07,Moderate,0,140,0
1,2000,10,43,43133.54,534916.41,0,1123.47,17.22,Moderate,18.18,Moderate,0,140,0
1,2000,10,44,42545.35,518569.11,0,1123.47,17.88,Moderate,18.87,Moderate,0,140,0
1,2000,11,45,38839.61,473530.19,0,1123.47,17.97,Moderate,19.24,Optimum,0,140,0
1,2000,11,46,44423.69,579493.56,0,1123.47,19.27,Optimum,20.29,Optimum,2,138,1
1,2000,11,47,84436.4,1475008.52,1096.81,1123.47,20.33,Optimum,21.35,Optimum,4,136,1
1,2000,11,48,85211.89,1479002.7,1161.31,1123.47,21.26,Optimum,22.35,Optimum,1,139,1
