ddate,adult_carp_number
1993-01-01,71646.5926
1993-02-01,6396.5298
1993-03-01,28037.9956
1993-04-01,6117.3608
1993-05-01,5073.4082
1993-06-01,3906.7426
1993-07-01,26415.7088
1993-08-01,52424.688
1993-09-01,53980.2184
1993-10-01,83966.0996
1993-11-01,46303.3344
1993-12-01,28596.721
1994-01-01,28820.7234
1994-02-01,27402.449
1994-03-01,28857.2618
1994-04-01,27667.5846
1994-05-01,5138.8344
1994-06-01,4098.861
1994-07-01,5146.5096
1994-08-01,5193.1366
1994-09-01,6600.9064
1994-10-01,9123.9576
1994-11-01,6160.5208
1994-12-01,27511.9372
1995-01-01,26330.7548
1995-02-01,39502.2612
1995-03-01,27807.1572
1995-04-01,5099.2604
1995-05-01,25988.556
1995-06-01,20317.534
1995-07-01,27092.0472
1995-08-01,24847.2036
1995-09-01,27716.0184
1995-10-01,31457.1602
1995-11-01,26469.6468
1995-12-01,27532.0492
1996-01-01,27308.1312
1996-02-01,26875.643
1996-03-01,26730.9578
1996-04-01,6328.928
1996-05-01,4285.8004
1996-06-01,4060.0096
1996-07-01,26324.6752
1996-08-01,26684.5968
1996-09-01,72895.2008
1996-10-01,68453.2444
1996-11-01,53589.0608
1996-12-01,30009.2152
1997-01-01,26642.396
1997-02-01,5328.814
1997-03-01,5393.6108
1997-04-01,5249.3072
1997-05-01,5240.1364
1997-06-01,4040.2936
1997-07-01,20376.432
1997-08-01,4014.0952
1997-09-01,25224.9028
1997-10-01,26083.1648
1997-11-01,25865.0062
1997-12-01,5217.7192
1998-01-01,6917.7462
1998-02-01,26867.5256
1998-03-01,5515.6062
1998-04-01,5459.342
1998-05-01,4128.53
1998-06-01,26209.9452
1998-07-01,27579.1296
1998-08-01,90686.9712
1998-09-01,69004.1048
1998-10-01,44902.6384
1998-11-01,28002.942
1998-12-01,28256.3618
1999-01-01,27126.8322
1999-02-01,5402.281
1999-03-01,25473.8684
1999-04-01,22111.084
1999-05-01,20321.9376
1999-06-01,20317.534
1999-07-01,20330.6772
1999-08-01,31147.353
1999-09-01,27948.4602
1999-10-01,34904.6258
1999-11-01,33759.7038
1999-12-01,64538.0526
2000-01-01,33478.492
2000-02-01,32014.793
2000-03-01,22456.5048
2000-04-01,27029.9122
2000-05-01,24928.5694
2000-06-01,24589.4668
2000-07-01,25815.6552
2000-08-01,35266.8868
2000-09-01,80185.2188
2000-10-01,35235.6312
2000-11-01,64156.6632
2000-12-01,33689.6148
2001-01-01,28039.3116
