ddate,avg_est_watertemp
1993-01-01,21.61
1993-02-01,20.35
1993-03-01,16.28
1993-04-01,14.58
1993-05-01,9.97
1993-06-01,6.45
1993-07-01,8.19
1993-08-01,8.31
1993-09-01,9.84
1993-10-01,12.25
1993-11-01,15.31
1993-12-01,18.11
1994-01-01,20.55
1994-02-01,21.17
1994-03-01,15.51
1994-04-01,13.54
1994-05-01,9.97
1994-06-01,7.74
1994-07-01,5.94
1994-08-01,6.49
1994-09-01,9.11
1994-10-01,13.1
1994-11-01,16.49
1994-12-01,21.13
1995-01-01,19.57
1995-02-01,19.55
1995-03-01,16.62
1995-04-01,11.43
1995-05-01,10.9
1995-06-01,7.43
1995-07-01,5.46
1995-08-01,9.08
1995-09-01,9.98
1995-10-01,13.53
1995-11-01,15.89
1995-12-01,17.37
1996-01-01,20.01
1996-02-01,17.58
1996-03-01,16.75
1996-04-01,12.16
1996-05-01,11.09
1996-06-01,7.72
1996-07-01,6.35
1996-08-01,7.46
1996-09-01,9.91
1996-10-01,13.44
1996-11-01,13.93
1996-12-01,18.3
1997-01-01,19.45
1997-02-01,22.61
1997-03-01,17.53
1997-04-01,14.23
1997-05-01,10.8
1997-06-01,6.63
1997-07-01,5.7
1997-08-01,6.54
1997-09-01,10.24
1997-10-01,13.3
1997-11-01,18.49
1997-12-01,21.17
1998-01-01,21.69
1998-02-01,21.36
1998-03-01,19.46
1998-04-01,14.7
1998-05-01,10.33
1998-06-01,7.11
1998-07-01,5.88
1998-08-01,8.89
1998-09-01,11.45
1998-10-01,11.82
1998-11-01,14.36
1998-12-01,19.79
1999-01-01,22.79
1999-02-01,19.85
1999-03-01,18.07
1999-04-01,12.36
1999-05-01,10.63
1999-06-01,7.35
1999-07-01,7.04
1999-08-01,7.78
1999-09-01,11.34
1999-10-01,13.93
1999-11-01,14.23
1999-12-01,18.33
2000-01-01,18.61
2000-02-01,21.63
2000-03-01,19.63
2000-04-01,13.77
2000-05-01,9.38
2000-06-01,6.68
2000-07-01,6.39
2000-08-01,7.47
2000-09-01,11.51
2000-10-01,13.32
2000-11-01,17.66
2000-12-01,21.12
2001-01-01,23.19
2001-02-01,22.0
2001-03-01,17.73
2001-04-01,14.57
2001-05-01,9.51
2001-06-01,7.76
2001-07-01,7.2
2001-08-01,7.34
2001-09-01,12.06
2001-10-01,13.05
2001-11-01,15.65
2001-12-01,19.89
2002-01-01,21.18
2002-02-01,19.32
2002-03-01,18.17
2002-04-01,16.0
2002-05-01,10.62
2002-06-01,7.38
2002-07-01,6.57
2002-08-01,8.0
2002-09-01,11.24
2002-10-01,14.87
2002-11-01,20.0
2002-12-01,20.4
2003-01-01,22.65
2003-02-01,22.08
2003-03-01,16.88
2003-04-01,14.18
2003-05-01,11.53
2003-06-01,8.82
2003-07-01,7.3
2003-08-01,7.32
2003-09-01,10.48
2003-10-01,12.07
2003-11-01,17.3
2003-12-01,21.79
2004-01-01,22.09
2004-02-01,22.11
2004-03-01,17.49
2004-04-01,14.3
2004-05-01,6.86
2004-06-01,6.69
2004-07-01,6.71
2004-08-01,8.47
2004-09-01,11.11
2004-10-01,14.05
2004-11-01,16.73
2004-12-01,20.45
2005-01-01,21.48
2005-02-01,20.09
2005-03-01,17.07
2005-04-01,16.73
2005-05-01,10.17
2005-06-01,8.44
2005-07-01,7.17
2005-08-01,7.76
2005-09-01,10.81
2005-10-01,14.19
2005-11-01,16.87
2005-12-01,20.61
2006-01-01,22.89
2006-02-01,21.55
2006-03-01,18.81
2006-04-01,12.97
2006-05-01,8.84
2006-06-01,6.59
2006-07-01,7.06
2006-08-01,8.04
2006-09-01,11.71
2006-10-01,15.52
2006-11-01,17.41
2006-12-01,12.66
2007-01-01,22.27
2007-02-01,16.16
2007-03-01,18.89
2007-04-01,14.5
2007-05-01,11.67
2007-06-01,6.5
2007-07-01,6.35
2007-08-01,9.06
2007-09-01,10.56
2007-10-01,15.1
2007-11-01,18.06
2007-12-01,19.21
2008-01-01,21.34
2008-02-01,18.69
2008-03-01,17.82
2008-04-01,12.97
2008-05-01,9.66
2008-06-01,9.41
2008-07-01,6.01
2008-08-01,6.26
2008-09-01,11.19
2008-10-01,15.02
2008-11-01,16.57
2008-12-01,18.66
2009-01-01,21.87
2009-02-01,21.61
2009-03-01,18.43
2009-04-01,13.8
2009-05-01,10.03
2009-06-01,8.0
2009-07-01,6.8
2009-08-01,8.49
2009-09-01,10.94
2009-10-01,12.9
2009-11-01,20.57
2009-12-01,20.45
2010-01-01,22.32
2010-02-01,20.93
2010-03-01,17.63
2010-04-01,14.15
2010-05-01,9.74
2010-06-01,7.12
2010-07-01,6.52
2010-08-01,6.91
2010-09-01,10.35
2010-10-01,13.64
2010-11-01,16.53
2010-12-01,18.55
2011-01-01,22.4
2011-02-01,20.58
2011-03-01,17.73
2011-04-01,12.56
2011-05-01,8.24
2011-06-01,7.87
2011-07-01,6.78
2011-08-01,9.08
2011-09-01,10.46
2011-10-01,13.42
2011-11-01,17.89
2011-12-01,17.15
2012-01-01,18.95
2012-02-01,18.27
2012-03-01,16.44
2012-04-01,13.83
2012-05-01,8.32
2012-06-01,8.02
2012-07-01,6.35
2012-08-01,6.65
2012-09-01,10.06
2012-10-01,13.18
2012-11-01,18.38
2012-12-01,20.29
2013-01-01,21.77
2013-02-01,19.15
2013-03-01,17.87
2013-04-01,13.88
2013-05-01,9.9
2013-06-01,8.23
2013-07-01,7.9
2013-08-01,8.41
2013-09-01,12.38
2013-10-01,14.12
2013-11-01,16.65
2013-12-01,20.82
