ddate,adult_carp_number
1993-01-01,202565.1048
1993-02-01,56129.6524
1993-03-01,71489.7584
1993-04-01,41584.4108
1993-05-01,7358.0628
1993-06-01,7022.4804
1993-07-01,40941.8284
1993-08-01,53154.983
1993-09-01,47991.9436
1993-10-01,106810.0346
1993-11-01,99676.5884
1993-12-01,83290.1128
1994-01-01,92118.3248
1994-02-01,90416.9067999999
1994-03-01,41084.1912
1994-04-01,91653.4892
1994-05-01,7130.798
1994-06-01,7616.6636
1994-07-01,7562.3832
1994-08-01,8334.2476
1994-09-01,45314.1886
1994-10-01,28177.7296
1994-11-01,7942.097
1994-12-01,51717.0136
1995-01-01,58705.2522
1995-02-01,58076.7652
1995-03-01,54734.5048
1995-04-01,7437.5408
1995-05-01,40926.2646
1995-06-01,41512.891
1995-07-01,40462.6588
1995-08-01,41974.0988
1995-09-01,39712.526
1995-10-01,12371.4178
1995-11-01,58900.6422
1995-12-01,47928.9674
1996-01-01,44997.9322
1996-02-01,46495.4094
1996-03-01,47687.8558
1996-04-01,8148.0262
1996-05-01,7803.472
1996-06-01,7327.6084
1996-07-01,36748.922
1996-08-01,45023.978
1996-09-01,41021.7584
1996-10-01,51851.4866
1996-11-01,73504.4068
1996-12-01,63306.2282
1997-01-01,54220.5184
1997-02-01,23252.583
1997-03-01,13460.8148
1997-04-01,20767.3232
1997-05-01,7765.6616
1997-06-01,7597.7532
1997-07-01,37825.0224
1997-08-01,7207.8804
1997-09-01,68727.8512
1997-10-01,42187.3194
1997-11-01,45643.924
1997-12-01,16877.9664
1998-01-01,17380.5542
1998-02-01,42324.0694
1998-03-01,10355.1374
1998-04-01,10715.0504
1998-05-01,7705.7816
1998-06-01,38295.4348
1998-07-01,42160.07
1998-08-01,96239.4328
1998-09-01,95640.8684
1998-10-01,105558.7754
1998-11-01,116967.7104
1998-12-01,107715.7806
1999-01-01,92617.801
1999-02-01,44788.6638
1999-03-01,81861.793
1999-04-01,65252.8204
1999-05-01,35830.8324
1999-06-01,37574.1016
1999-07-01,41225.058
1999-08-01,54365.2752
1999-09-01,82363.7374
1999-10-01,77598.3858
1999-11-01,75867.8834
1999-12-01,112255.567
2000-01-01,77178.9464
2000-02-01,53857.2118
2000-03-01,132142.1144
2000-04-01,83642.2448
2000-05-01,69065.7328
2000-06-01,49435.2816
2000-07-01,41930.266
2000-08-01,60542.9768
2000-09-01,79488.3326
2000-10-01,92237.2178
2000-11-01,82979.7934
2000-12-01,83597.1008
2001-01-01,63921.361
2001-02-01,62398.6822
2001-03-01,59959.9212
2001-04-01,54785.0884
2001-05-01,38626.996
2001-06-01,37872.2708
2001-07-01,37848.958
2001-08-01,62344.0376
2001-09-01,58820.2476
2001-10-01,57445.1246
2001-11-01,59758.692
2001-12-01,53754.67
2002-01-01,23158.0466
2002-02-01,56350.4712
2002-03-01,61627.6268
2002-04-01,62459.5712
2002-05-01,38625.572
2002-06-01,37872.2708
2002-07-01,36314.2052
2002-08-01,12815.5448
2002-09-01,37894.4398
