ddate,adult_carp_number
1993-01-01,86621.7898
1993-02-01,25718.611
1993-03-01,25474.0712
1993-04-01,23308.8552
1993-05-01,86.864
1993-06-01,0.0
1993-07-01,0.0
1993-08-01,37969.9596
1993-09-01,0.0
1993-10-01,0.0
1993-11-01,43952.7452
1993-12-01,23943.7438
1994-01-01,26143.8396
1994-02-01,25510.2852
1994-03-01,25754.0626
1994-04-01,24817.6448
1994-05-01,28.48
1994-06-01,0.0
1994-07-01,0.0
1994-08-01,3218.8392
1994-09-01,23188.532
1994-10-01,22548.3612
1994-11-01,24601.8856
1994-12-01,0.0
1995-01-01,34168.2796
1995-02-01,26204.7242
1995-03-01,24451.121
1995-04-01,462.8
1995-05-01,0.0
1995-06-01,0.0
1995-07-01,0.0
1995-08-01,1059.6744
1995-09-01,21303.6352
1995-10-01,25938.754
1995-11-01,25599.1048
1995-12-01,25659.7156
1996-01-01,24625.7106
1996-02-01,24683.0812
1996-03-01,21417.3408
1996-04-01,21265.66
1996-05-01,0.0
1996-06-01,0.0
1996-07-01,0.0
1996-08-01,790.9164
1996-09-01,23713.0212
1996-10-01,24847.1878
1996-11-01,26387.8076
1996-12-01,25434.4264
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.0
1997-12-01,0.0
1998-01-01,40861.2204
1998-02-01,24747.504
1998-03-01,23157.9
1998-04-01,20792.554
1998-05-01,57.85
1998-06-01,0.0
1998-07-01,0.0
1998-08-01,0.0
1998-09-01,0.0
1998-10-01,39769.074
1998-11-01,26145.9362
1998-12-01,25962.9602
1999-01-01,15353.2112
1999-02-01,0.0
1999-03-01,41595.4266
1999-04-01,21559.6588
1999-05-01,58.384
1999-06-01,0.0
1999-07-01,0.0
1999-08-01,0.0
1999-09-01,39779.028
1999-10-01,26557.6322
1999-11-01,5663.2978
1999-12-01,26371.2254
2000-01-01,26489.2068
2000-02-01,25354.7556
2000-03-01,26495.3224
2000-04-01,26536.4756
2000-05-01,2877.548
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,37731.348
2000-09-01,24442.96
2000-10-01,26512.2694
2000-11-01,26496.259
2000-12-01,26079.2262
2001-01-01,25213.521
2001-02-01,25626.3586
2001-03-01,25886.339
2001-04-01,0.0
2001-05-01,1036.3536
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,38146.2876
2001-09-01,23754.1
2001-10-01,24117.042
2001-11-01,26169.1894
2001-12-01,23311.7142
2002-01-01,24273.6724
2002-02-01,25999.7624
2002-03-01,25877.3808
2002-04-01,23982.4356
2002-05-01,21172.032
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,33194.8836
2002-09-01,22112.7116
2002-10-01,22821.1098
2002-11-01,23821.5692
2002-12-01,24369.5442
2003-01-01,21942.0626
2003-02-01,22726.6658
2003-03-01,25256.5966
2003-04-01,24512.8754
2003-05-01,18900.218
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,31445.8236
2003-09-01,23503.12
2003-10-01,23674.0
2003-11-01,24728.6346
2003-12-01,22076.5612
2004-01-01,20694.0138
2004-02-01,19909.6948
2004-03-01,18989.478
2004-04-01,18768.8538
2004-05-01,11145.648
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,27049.284
2004-09-01,17147.452
2004-10-01,17771.1628
2004-11-01,17333.7884
2004-12-01,16011.353
2005-01-01,13495.433
2005-02-01,13060.6744
2005-03-01,12708.4456
2005-04-01,12787.9258
2005-05-01,10955.544
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,19971.1368
2005-09-01,13780.76
2005-10-01,23973.668
2005-11-01,24493.6248
2005-12-01,18070.786
2006-01-01,22485.082
2006-02-01,21648.348
2006-03-01,13332.0888
2006-04-01,18868.712
2006-05-01,204.878
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,29685.3876
2006-09-01,18677.362
2006-10-01,19599.398
2006-11-01,18963.1752
2006-12-01,17709.7896
2007-01-01,16697.7036
2007-02-01,16361.854
2007-03-01,15763.3824
2007-04-01,15428.6888
2007-05-01,8921.182
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,22554.0576
2007-09-01,13488.306
2007-10-01,11101.8782
2007-11-01,9790.169
2007-12-01,19264.9912
2008-01-01,30314.3902
2008-02-01,28325.8284
2008-03-01,28027.1582
2008-04-01,14303.591
2008-05-01,5894.826
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,34144.4952
2008-09-01,21378.7016
2008-10-01,21045.4802
2008-11-01,19711.6614
2008-12-01,19012.1594
2009-01-01,17391.297
2009-02-01,16496.6206
2009-03-01,16272.475
2009-04-01,15725.8342
2009-05-01,8761.694
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,21375.2196
2009-09-01,12849.642
2009-10-01,12172.0972
2009-11-01,11854.367
2009-12-01,10078.1656
2010-01-01,3204.7484
2010-02-01,3819.255
2010-03-01,18907.7106
2010-04-01,16493.514
2010-05-01,17871.022
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,37391.2056
2010-09-01,23729.536
2010-10-01,25019.8714
2010-11-01,24368.8982
2010-12-01,24755.5116
2011-01-01,24597.3112
2011-02-01,24367.257
2011-03-01,26008.2918
2011-04-01,23792.014
2011-05-01,21302.684
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,2470.5828
2011-09-01,23690.876
2011-10-01,24569.6742
2011-11-01,9799.8896
2011-12-01,23552.8232
2012-01-01,17150.7598
2012-02-01,22530.6354
2012-03-01,33831.1852
2012-04-01,30676.4898
2012-05-01,16126.978
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,30065.0616
2012-09-01,17640.0024
2012-10-01,23452.5676
2012-11-01,16810.5388
2012-12-01,24340.7288
2013-01-01,25342.7478
2013-02-01,23120.5424
2013-03-01,24088.2186
2013-04-01,23735.9898
2013-05-01,13352.67
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,25669.944
2013-09-01,21553.486
2013-10-01,25471.0216
2013-11-01,22366.5288
2013-12-01,24757.4152
