ddate,avg_est_watertemp
1993-01-01,25.52
1993-02-01,24.65
1993-03-01,21.1
1993-04-01,19.02
1993-05-01,13.74
1993-06-01,9.63
1993-07-01,10.71
1993-08-01,11.59
1993-09-01,13.48
1993-10-01,15.36
1993-11-01,20.45
1993-12-01,21.62
1994-01-01,24.74
1994-02-01,24.96
1994-03-01,19.63
1994-04-01,17.28
1994-05-01,13.64
1994-06-01,11.42
1994-07-01,9.78
1994-08-01,9.68
1994-09-01,12.77
1994-10-01,17.4
1994-11-01,20.83
1994-12-01,25.61
1995-01-01,24.54
1995-02-01,24.74
1995-03-01,20.66
1995-04-01,14.91
1995-05-01,13.31
1995-06-01,10.05
1995-07-01,8.2
1995-08-01,11.71
1995-09-01,13.4
1995-10-01,17.07
1995-11-01,20.59
1995-12-01,22.07
1996-01-01,24.81
1996-02-01,22.21
1996-03-01,21.57
1996-04-01,15.51
1996-05-01,13.5
1996-06-01,10.78
1996-07-01,9.18
1996-08-01,10.15
1996-09-01,13.16
1996-10-01,17.16
1996-11-01,18.73
1996-12-01,22.88
1997-01-01,25.06
1997-02-01,27.9
1997-03-01,20.66
1997-04-01,16.95
1997-05-01,14.08
1997-06-01,10.0
1997-07-01,8.09
1997-08-01,9.72
1997-09-01,12.96
1997-10-01,17.24
1997-11-01,22.71
1997-12-01,25.02
1998-01-01,25.22
1998-02-01,24.19
1998-03-01,22.9
1998-04-01,16.59
1998-05-01,13.04
1998-06-01,9.82
1998-07-01,7.95
1998-08-01,11.17
1998-09-01,14.04
1998-10-01,15.48
1998-11-01,19.3
1998-12-01,24.29
1999-01-01,27.8
1999-02-01,24.09
1999-03-01,21.67
1999-04-01,15.51
1999-05-01,13.81
1999-06-01,10.12
1999-07-01,9.99
1999-08-01,10.4
1999-09-01,15.06
1999-10-01,17.16
1999-11-01,17.8
1999-12-01,21.35
2000-01-01,22.71
2000-02-01,25.64
2000-03-01,22.07
2000-04-01,17.13
2000-05-01,11.88
2000-06-01,9.12
2000-07-01,8.96
2000-08-01,9.43
2000-09-01,14.59
2000-10-01,16.34
2000-11-01,21.55
2000-12-01,24.36
2001-01-01,28.07
2001-02-01,26.53
2001-03-01,20.88
2001-04-01,17.33
2001-05-01,12.57
2001-06-01,10.47
2001-07-01,9.12
2001-08-01,10.55
2001-09-01,15.11
2001-10-01,15.32
2001-11-01,19.55
2001-12-01,22.07
2002-01-01,24.36
2002-02-01,23.01
2002-03-01,22.06
2002-04-01,19.54
2002-05-01,13.22
2002-06-01,10.52
2002-07-01,10.22
2002-08-01,11.24
2002-09-01,14.88
2002-10-01,17.64
2002-11-01,23.09
2002-12-01,24.61
2003-01-01,26.85
2003-02-01,26.22
2003-03-01,20.61
2003-04-01,18.17
2003-05-01,13.72
2003-06-01,10.79
2003-07-01,9.94
2003-08-01,9.82
2003-09-01,13.09
2003-10-01,15.17
2003-11-01,21.15
2003-12-01,25.39
2004-01-01,25.09
2004-02-01,27.19
2004-03-01,21.9
2004-04-01,18.18
2004-05-01,11.77
2004-06-01,10.04
2004-07-01,8.65
2004-08-01,10.9
2004-09-01,13.22
2004-10-01,18.33
2004-11-01,20.67
2004-12-01,23.27
2005-01-01,26.24
2005-02-01,23.11
2005-03-01,21.21
2005-04-01,20.85
2005-05-01,13.87
2005-06-01,11.76
2005-07-01,9.97
2005-08-01,10.29
2005-09-01,12.75
2005-10-01,17.02
2005-11-01,21.27
2005-12-01,24.19
2006-01-01,28.97
2006-02-01,25.84
2006-03-01,23.11
2006-04-01,15.0
2006-05-01,11.29
2006-06-01,8.57
2006-07-01,9.18
2006-08-01,10.5
2006-09-01,14.35
2006-10-01,18.36
2006-11-01,21.86
2006-12-01,23.76
2007-01-01,25.77
2007-02-01,26.47
2007-03-01,23.1
2007-04-01,18.16
2007-05-01,14.9
2007-06-01,8.4
2007-07-01,8.7
2007-08-01,12.43
2007-09-01,14.23
2007-10-01,18.79
2007-11-01,22.36
2007-12-01,23.93
2008-01-01,26.75
2008-02-01,22.41
2008-03-01,22.74
2008-04-01,16.12
2008-05-01,13.38
2008-06-01,11.76
2008-07-01,9.29
2008-08-01,9.35
2008-09-01,14.66
2008-10-01,19.34
2008-11-01,20.46
2008-12-01,22.65
2009-01-01,27.14
2009-02-01,25.97
2009-03-01,22.2
2009-04-01,17.39
2009-05-01,13.68
2009-06-01,10.83
2009-07-01,9.89
2009-08-01,12.35
2009-09-01,14.56
2009-10-01,17.47
2009-11-01,25.41
2009-12-01,24.12
2010-01-01,26.85
2010-02-01,24.96
2010-03-01,21.59
2010-04-01,18.3
2010-05-01,13.12
2010-06-01,10.48
2010-07-01,8.68
2010-08-01,9.11
2010-09-01,11.88
2010-10-01,16.11
2010-11-01,19.91
2010-12-01,21.98
2011-01-01,26.26
2011-02-01,24.48
2011-03-01,20.83
2011-04-01,15.78
2011-05-01,11.23
2011-06-01,9.89
2011-07-01,9.39
2011-08-01,12.14
2011-09-01,14.32
2011-10-01,17.56
2011-11-01,21.68
2011-12-01,22.57
2012-01-01,24.63
2012-02-01,22.95
2012-03-01,19.58
2012-04-01,16.5
2012-05-01,11.98
2012-06-01,9.62
2012-07-01,8.96
2012-08-01,9.77
2012-09-01,13.48
2012-10-01,17.14
2012-11-01,22.22
2012-12-01,23.96
2013-01-01,27.64
2013-02-01,26.07
2013-03-01,21.96
2013-04-01,17.56
2013-05-01,13.46
2013-06-01,10.63
2013-07-01,10.53
2013-08-01,11.42
2013-09-01,15.82
2013-10-01,17.29
2013-11-01,19.79
2013-12-01,24.27
