ddate,adult_carp_number
1993-01-01,226986.0502
1993-02-01,114652.571
1993-03-01,98029.0108
1993-04-01,19992.987
1993-05-01,0.0
1993-06-01,0.0
1993-07-01,0.0
1993-08-01,8470.2852
1993-09-01,0.0
1993-10-01,0.0
1993-11-01,191156.602
1993-12-01,117083.2928
1994-01-01,117562.8424
1994-02-01,0.0
1994-03-01,0.0
1994-04-01,175655.9714
1994-05-01,0.0
1994-06-01,0.0
1994-07-01,0.0
1994-08-01,0.0
1994-09-01,112466.8332
1994-10-01,71793.8738
1994-11-01,0.0
1994-12-01,0.0
1995-01-01,0.0
1995-02-01,26897.3796
1995-03-01,70228.2854
1995-04-01,0.0
1995-05-01,0.0
1995-06-01,0.0
1995-07-01,0.0
1995-08-01,904.6764
1995-09-01,0.0
1995-10-01,181402.767
1995-11-01,110185.0976
1995-12-01,107692.0496
1996-01-01,89371.0058
1996-02-01,81268.7904
1996-03-01,72511.1016
1996-04-01,66417.14
1996-05-01,0.0
1996-06-01,0.0
1996-07-01,0.0
1996-08-01,126034.9884
1996-09-01,49983.112
1996-10-01,45327.1578
1996-11-01,117067.6636
1996-12-01,115477.2972
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.0
1997-12-01,0.0
1998-01-01,5653.9756
1998-02-01,135.1354
1998-03-01,0.0
1998-04-01,0.0
1998-05-01,0.0
1998-06-01,0.0
1998-07-01,0.0
1998-08-01,0.0
1998-09-01,0.0
1998-10-01,181826.5896
1998-11-01,120900.6296
1998-12-01,121138.689
1999-01-01,103469.3066
1999-02-01,0.0
1999-03-01,129072.7074
1999-04-01,26345.602
1999-05-01,0.0
1999-06-01,0.0
1999-07-01,0.0
1999-08-01,0.0
1999-09-01,115457.0148
1999-10-01,74411.9554
1999-11-01,120921.5956
1999-12-01,120990.974
2000-01-01,120415.1714
2000-02-01,0.0
2000-03-01,155713.9038
2000-04-01,92753.3934
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,8504.982
2000-09-01,95183.008
2000-10-01,112329.157
2000-11-01,120518.0954
2000-12-01,118655.7428
2001-01-01,110421.8228
2001-02-01,22178.5972
2001-03-01,77584.8736
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,80388.504
2001-09-01,58326.506
2001-10-01,55586.1592
2001-11-01,54498.0674
2001-12-01,26703.8224
2002-01-01,5895.8298
2002-02-01,0.0
2002-03-01,38774.008
2002-04-01,16192.0418
2002-05-01,5896.606
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,78.7788
2002-09-01,40.05
2002-10-01,27.0652
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,55.3826
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,20940.5014
2005-12-01,7774.3834
2006-01-01,35267.8616
2006-02-01,19446.5368
2006-03-01,14250.3996
2006-04-01,10153.654
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,11399.8896
2006-09-01,5783.042
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,740.0848
2008-01-01,374.3384
2008-02-01,101.5898
2008-03-01,49.504
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,336.6272
2010-03-01,68.9972
2010-04-01,42.8602
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,32767.146
2010-09-01,79512.244
2010-10-01,89419.6088
2010-11-01,87072.626
2010-12-01,89501.3762
2011-01-01,90027.2416
2011-02-01,89502.901
2011-03-01,89600.4882
2011-04-01,84923.088
2011-05-01,79604.982
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,42.0912
2011-09-01,72613.142
2011-10-01,67745.5298
2011-11-01,24584.9222
2011-12-01,38226.736
2012-01-01,24984.4198
2012-02-01,56905.7266
2012-03-01,75109.3102
2012-04-01,100538.641
2012-05-01,7980.274
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,137058.048
2012-09-01,89745.642
2012-10-01,97646.6672
2012-11-01,37581.3644
2012-12-01,78391.1116
2013-01-01,67058.798
2013-02-01,66518.0658
2013-03-01,15901.1862
2013-04-01,20493.6932
2013-05-01,12623.048
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,58422.3012
2013-09-01,57378.122
2013-10-01,59892.6192
2013-11-01,45894.0022
2013-12-01,71.2844
