ddate,avg_est_watertemp
1993-01-01,24.62
1993-02-01,23.96
1993-03-01,20.97
1993-04-01,18.73
1993-05-01,13.63
1993-06-01,9.76
1993-07-01,10.61
1993-08-01,11.83
1993-09-01,13.66
1993-10-01,15.3
1993-11-01,19.85
1993-12-01,21.29
1994-01-01,23.87
1994-02-01,24.59
1994-03-01,19.28
1994-04-01,16.95
1994-05-01,13.39
1994-06-01,11.55
1994-07-01,9.86
1994-08-01,9.82
1994-09-01,12.78
1994-10-01,17.16
1994-11-01,20.47
1994-12-01,25.02
1995-01-01,24.42
1995-02-01,24.16
1995-03-01,20.0
1995-04-01,14.55
1995-05-01,13.15
1995-06-01,10.8
1995-07-01,8.8
1995-08-01,11.89
1995-09-01,13.39
1995-10-01,16.5
1995-11-01,19.99
1995-12-01,21.19
1996-01-01,23.72
1996-02-01,21.63
1996-03-01,21.0
1996-04-01,15.15
1996-05-01,13.05
1996-06-01,10.87
1996-07-01,9.82
1996-08-01,10.64
1996-09-01,13.34
1996-10-01,17.05
1996-11-01,18.48
1996-12-01,22.26
1997-01-01,24.62
1997-02-01,27.91
1997-03-01,18.54
1997-04-01,15.51
1997-05-01,12.86
1997-06-01,9.09
1997-07-01,7.09
1997-08-01,9.08
1997-09-01,13.21
1997-10-01,17.24
1997-11-01,22.23
1997-12-01,24.44
1998-01-01,24.64
1998-02-01,23.61
1998-03-01,22.13
1998-04-01,16.09
1998-05-01,13.05
1998-06-01,9.77
1998-07-01,8.02
1998-08-01,11.24
1998-09-01,14.28
1998-10-01,15.74
1998-11-01,19.28
1998-12-01,24.01
1999-01-01,27.55
1999-02-01,24.08
1999-03-01,21.12
1999-04-01,14.98
1999-05-01,13.69
1999-06-01,10.2
1999-07-01,10.2
1999-08-01,10.65
1999-09-01,15.17
1999-10-01,17.58
1999-11-01,17.74
1999-12-01,21.33
2000-01-01,22.75
2000-02-01,25.73
2000-03-01,22.35
2000-04-01,17.8
2000-05-01,12.14
2000-06-01,9.37
2000-07-01,9.45
2000-08-01,9.83
2000-09-01,14.69
2000-10-01,16.84
2000-11-01,22.04
2000-12-01,24.34
2001-01-01,27.69
2001-02-01,26.42
2001-03-01,20.87
2001-04-01,17.02
2001-05-01,12.83
2001-06-01,10.54
2001-07-01,9.27
2001-08-01,11.11
2001-09-01,15.35
2001-10-01,15.99
2001-11-01,19.62
2001-12-01,21.62
2002-01-01,23.84
2002-02-01,23.1
2002-03-01,21.91
2002-04-01,19.23
2002-05-01,13.48
2002-06-01,10.67
2002-07-01,10.12
2002-08-01,11.17
2002-09-01,14.95
2002-10-01,17.64
2002-11-01,22.72
2002-12-01,24.23
2003-01-01,26.06
2003-02-01,25.59
2003-03-01,20.64
2003-04-01,18.1
2003-05-01,13.7
2003-06-01,10.98
2003-07-01,9.9
2003-08-01,10.11
2003-09-01,13.21
2003-10-01,15.22
2003-11-01,20.83
2003-12-01,25.21
2004-01-01,24.46
2004-02-01,26.48
2004-03-01,21.27
2004-04-01,17.91
2004-05-01,11.84
2004-06-01,10.34
2004-07-01,9.0
2004-08-01,11.21
2004-09-01,13.66
2004-10-01,18.67
2004-11-01,20.96
2004-12-01,23.17
2005-01-01,25.55
2005-02-01,22.51
2005-03-01,21.13
2005-04-01,20.32
2005-05-01,13.95
2005-06-01,11.59
2005-07-01,10.27
2005-08-01,10.85
2005-09-01,13.4
2005-10-01,17.29
2005-11-01,21.51
2005-12-01,23.97
2006-01-01,28.38
2006-02-01,25.22
2006-03-01,22.98
2006-04-01,15.04
2006-05-01,11.55
2006-06-01,8.7
2006-07-01,9.38
2006-08-01,10.95
2006-09-01,14.85
2006-10-01,18.28
2006-11-01,21.51
2006-12-01,23.26
2007-01-01,25.57
2007-02-01,26.29
2007-03-01,22.83
2007-04-01,18.28
2007-05-01,15.17
2007-06-01,8.78
2007-07-01,9.04
2007-08-01,12.52
2007-09-01,14.61
2007-10-01,18.64
2007-11-01,22.79
2007-12-01,24.34
2008-01-01,26.53
2008-02-01,23.0
2008-03-01,23.05
2008-04-01,16.39
2008-05-01,13.19
2008-06-01,11.78
2008-07-01,9.55
2008-08-01,9.83
2008-09-01,14.86
2008-10-01,19.18
2008-11-01,20.56
2008-12-01,22.42
2009-01-01,26.83
2009-02-01,25.77
2009-03-01,21.85
2009-04-01,17.39
2009-05-01,13.54
2009-06-01,10.97
2009-07-01,10.16
2009-08-01,12.5
2009-09-01,14.79
2009-10-01,17.89
2009-11-01,23.7
2009-12-01,21.55
2010-01-01,24.9
2010-02-01,22.62
2010-03-01,20.65
2010-04-01,18.32
2010-05-01,13.36
2010-06-01,10.65
2010-07-01,8.91
2010-08-01,9.73
2010-09-01,12.56
2010-10-01,16.85
2010-11-01,20.41
2010-12-01,22.59
2011-01-01,26.14
2011-02-01,24.69
2011-03-01,21.0
2011-04-01,16.42
2011-05-01,11.72
2011-06-01,10.11
2011-07-01,9.64
2011-08-01,12.61
2011-09-01,14.81
2011-10-01,18.13
2011-11-01,22.33
2011-12-01,23.18
2012-01-01,25.12
2012-02-01,23.79
2012-03-01,20.05
2012-04-01,17.15
2012-05-01,12.47
2012-06-01,9.87
2012-07-01,9.48
2012-08-01,10.52
2012-09-01,14.23
2012-10-01,17.66
2012-11-01,22.26
2012-12-01,24.1
2013-01-01,26.94
2013-02-01,26.03
2013-03-01,22.34
2013-04-01,17.93
2013-05-01,13.63
2013-06-01,10.83
2013-07-01,10.84
2013-08-01,11.91
2013-09-01,16.63
2013-10-01,17.84
2013-11-01,20.22
2013-12-01,24.19
